Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
KPRX,"Kiora Pharmaceuticals, Inc.",3.9,USD,36.84210526315789,24589034,4113.735967744618,11871041.684210526,USD,,-3.27,USD,77.15523263937403,0,Health technology,Strong buy
RSLS,"ReShape Lifesciences, Inc.",6.75,USD,56.6125290023202,57640303,921.6210948430137,4983369.953596288,USD,,-210.7045,USD,93.5828369680999,0,Health technology,
TRAW,"Traws Pharma, Inc.",1.87,USD,31.690140845070434,62769879,408.5335913276424,10405268.654929578,USD,,-105.9134,USD,-390.21045372286017,0,Health technology,
TSBX,Turnstone Biologics Corp.,0.3462,USD,10.713143588103623,10353613,280.3873953653378,8011189.784457946,USD,,-2.7325,USD,16.337527938519944,0,Health technology,Neutral
BMEA,"Biomea Fusion, Inc.",2.49,USD,60.64516129032259,63292497,97.83635000257372,93554900.09032258,USD,,-3.5463,USD,0.454736842105263,0,Health technology,Buy
TXTM,"ProText Mobility, Inc.",0.0029,USD,383.33333333333337,302763197,94.49299096995364,1168014,USD,,0,USD,,0,Health technology,
NTRR,Neutra Corp.,0.0002,USD,19900.000000000004,28148403,42.2226657228653,2918,USD,,0,USD,100,,Health technology,
CGLD,Buscar Company,0.0199,USD,99.00000000000001,5646465,18.42343792977548,186810,USD,,,,,0,Process industries,
NIVF,NewGenIvf Group Limited,3.7,USD,115.11627906976744,93627187,17.82616953838201,1256085,USD,,,,,0,Health services,
NCEW,New Century Logistics (BVI) Limited,1.27,USD,20.95238095238095,3704811,12.261106382190075,27304998.790476188,USD,,,,,0,Transportation,
AGEN,Agenus Inc.,5,USD,21.06537530266344,9933528,11.682253937744061,137084249.39467314,USD,,-8.6806,USD,31.189358868666368,0,Health technology,Neutral
UNCY,"Unicycive Therapeutics, Inc.",0.763,USD,15.187198067632854,12637368,11.174253684690614,92040141.70893721,USD,,-0.205,USD,83.69521991569235,0,Health technology,Strong buy
REKR,"Rekor Systems, Inc.",1.44,USD,30.909090909090892,41372050,11.168611025407749,170029361.45454547,USD,,-0.5805,USD,21.116999592335915,0,Commercial services,Strong buy
IMAB,I-MAB,1.87,USD,46.09375000000001,3830428,10.26419167401783,101044237,USD,,-0.7101,USD,85.08193277310924,0,Health technology,Strong buy
CATX,"Perspective Therapeutics, Inc.",3.09,USD,29.28870292887028,8720639,9.841188177717028,229365558.18828452,USD,,-1.2093,USD,-226.57304887928706,0,Health technology,Strong buy
MGTI,"MGT Capital Investments, Inc.",0.0004,USD,100,4894662,9.151449656072439,498134,USD,,,,,0,Technology services,
SPWH,"Sportsman's Warehouse Holdings, Inc.",2.32,USD,13.170731707317076,2649242,7.416394024539332,88826825.71707317,USD,,-0.8762,USD,-13.438632832729155,0,Retail trade,Strong buy
KIDZ,"Classover Holdings, Inc.",5.44,USD,46.23655913978495,28378428,7.307355541440152,128868886.79569893,USD,,-0.1531,USD,-140.20483193277312,0,Finance,
KBLB,"Kraig Biocraft Laboratories, Inc.",0.0903,USD,12.875000000000004,2712091,6.460029669406211,94591662.13875,USD,,-0.0034,USD,-17.24137931034483,0,Process industries,
NCNA,NuCana plc,0.0598,USD,57.36842105263158,415080923,5.5735796492704575,215137,USD,,-6.9817,USD,55.91303469266617,0,Health technology,
HMLA,"Himalaya Technologies, Inc.",0.0005,USD,24.999999999999996,3806989,5.359186167150219,194641.25,USD,,,,,0,Energy minerals,
AXXA,Exxe Group Inc.,0.0004,USD,33.33333333333336,103750592,4.28629579035026,774789.3333333335,USD,,,,,0,Finance,
VPER,"Viper Networks, Inc.",0.0005,USD,11.111111111111116,18181505,3.885232924260149,3281798.888888889,USD,,-0.0017,USD,-749.9999999999999,0,Electronic technology,
UMAC,"Unusual Machines, Inc.",6.58,USD,19.202898550724647,5766994,3.3991443012228504,163382515.73913047,USD,,-3.7622,USD,-542.67167748548,0,Electronic technology,Strong buy
ATYR,"aTyr Pharma, Inc.",5.39,USD,13.47368421052631,5828609,3.2705820893177386,479733932.7347368,USD,,-0.8062,USD,10.729708780865904,0,Health technology,Strong buy
GXXM,"GEX Management, Inc.",0.0002,USD,100,8815407,3.24837921099388,240561,USD,,-0.0014,USD,-74.99999999999999,0,Commercial services,
EONR,EON Resources Inc.,0.3875,USD,10.777587192681535,5934639,3.0700137628786117,7557734.419668382,USD,,-0.8927,USD,-1547.0479704797049,0,Energy minerals,Strong buy
LYTHF,Lytus Technologies Holdings PTV. Ltd.,0.015,USD,35.13513513513512,1398809,3.0166373336444554,466664.8648648648,USD,,,,,0,Technology services,
