Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
STSS,Sharps Technology Inc.,6.31,USD,68.71657754010693,49530305,879.0104493875486,6430382.652406416,USD,,-1647.567,USD,61.624694291104746,0,Health technology,
CLRB,"Cellectar Biosciences, Inc.",0.4617,USD,66.31844380403457,626089355,848.986751459208,21275077.78854467,USD,,-0.7482,USD,77.03499079189687,0,Health technology,Buy
KWM,"K Wave Media, Ltd.",4.48,USD,133.33333333333337,116714101,693.5716645729316,121432871,USD,,-0.1751,USD,-295.4241071428571,0,Finance,
HOTH,"Hoth Therapeutics, Inc.",1.53,USD,66.34050880626225,31498124,247.3910393555826,20209639.921722114,USD,,-1.1462,USD,43.30233478432923,0,Health technology,Strong buy
BAOS,Baosheng Media Group Holdings Limited,3.66,USD,54.43037974683544,36194364,152.09901590900878,5616222.126582279,USD,,-17.5115,USD,-37.598711350331996,0,Commercial services,
LOOP,"Loop Industries, Inc.",1.57,USD,25.600000000000005,4465392,61.95763385628479,74917815.15200001,USD,,-0.3165,USD,28.66801893171061,0,Process industries,Buy
SGMT,Sagimet Biosciences Inc. - Series A,4.08,USD,12.396694214876039,20357948,38.575934603789385,125153416.66115703,USD,,-1.7769,USD,-48.21085995495869,0,Health technology,Strong buy
SILO,"Silo Pharma, Inc.",0.571,USD,15.16740621218232,10958908,28.810496899145328,4115648.9169019763,USD,,-1.1371,USD,5.154725164734346,0,Health technology,
CGAC,Code Green Apparel Corp.,0.00045,USD,50.000000000000014,417452239,25.088114822213722,1672989.0000000002,USD,,,,,0,Consumer non-durables,
AGMH,AGM Group Holdings Inc.,3.76,USD,33.807829181494654,4645548,12.142989981168327,15319289.053380784,USD,29.237947122861588,0.1286,USD,,0,Technology services,
MFI,mF International Limited,1.93,USD,60.83333333333334,14348367,9.492159939730163,25575717.310000002,USD,,-0.2003,USD,,0,Technology services,
BHAT,Blue Hat Interactive Entertainment Technology,1.9,USD,10.465116279069765,6601844,9.491535268385181,9382598.779069768,USD,,-0.1628,USD,86.00051595150056,0,Consumer durables,
YEXT,"Yext, Inc.",8.97,USD,31.524926686217015,7667920,8.67031310582155,1117593236.1378298,USD,,-0.1833,USD,-278.7190082644628,0,Technology services,Buy
STAI,ScanTech AI Systems Inc.,0.7899,USD,11.253521126760575,4162961,6.772438406511493,20228951.837746482,USD,,,,,0,Finance,
MEDH,"MedX Holdings, Inc.",0.001,USD,66.66666666666669,3888127,6.290245212863973,112316.66666666669,USD,,-0.0001,USD,75,0,Finance,
NWGC,NEW WORLD GOLD CORPORATION,0.0001,USD,9900.000000000002,2041162,6.054921881095043,,,,,,,,Non-energy minerals,
ANVS,"Annovis Bio, Inc.",3.24,USD,24.137931034482772,2724678,5.560361953976803,63135384.82758621,USD,,-2.2135,USD,56.85857955874328,0,Health technology,Buy
HMLA,"Himalaya Technologies, Inc.",0.0005,USD,24.999999999999996,3806989,5.359186167150219,194642,USD,,,,,0,Energy minerals,
GMPR,Gourmet Provisions International Corporation,0.0001,USD,9900.000000000002,4493026,4.9988323516149205,363,USD,,0,USD,100,,Consumer services,
UBQU,Ubiquitech Software Corp.,0.0001,USD,9900.000000000002,10039000,4.767938329028304,29082,USD,,0,USD,,,Commercial services,
EXMT,Anything Technologies Media Inc.,0.0004,USD,33.33333333333336,2827300,4.541861252267276,1641309.3333333335,USD,,0,USD,100,0,Electronic technology,
TRVI,"Trevi Therapeutics, Inc.",6.58,USD,10.588235294117645,9062738,4.2300532148890415,669480540.7058824,USD,,-0.4486,USD,-32.72189349112425,0,Health technology,Strong buy
SPWH,"Sportsman's Warehouse Holdings, Inc.",2.58,USD,11.20689655172415,2390562,4.088096756011339,98781556.5,USD,,-0.9525,USD,-13.731343283582087,0,Retail trade,Strong buy
OCLN,"OriginClear, Inc.",0.0022,USD,10.000000000000005,2131699,4.05366155133398,34937625.800000004,USD,,-0.0061,USD,67.72486772486772,0,Producer manufacturing,
MJNA,"Medical Marijuana, Inc.",0.0003,USD,49.99999999999998,103659580,4.031484379350387,1706834.9999999998,USD,,-0.0001,USD,87.5,0,Process industries,
HIPH,American Premium Water Corporation,0.0001,USD,9900.000000000002,3467083,4.0060737881021415,64395.99999999999,USD,,0,USD,,,Producer manufacturing,
TXTM,"ProText Mobility, Inc.",0.0034,USD,17.24137931034483,123746725,3.7699040168002704,6618746,USD,,0,USD,,0,Health technology,
AABB,"Asia Broadband, Inc.",0.0382,USD,15.757575757575745,25552860,3.709394838232598,129513350.61212121,USD,34.72727272727273,0.0011,USD,175.00000000000003,0,Finance,
NG,Novagold Resources Inc.,4.69,USD,24.40318302387269,16316831,3.644508538506116,1794142150.6286268,USD,,-0.126705558,USD,8.36342020100033,0,Non-energy minerals,Buy
UMAC,"Unusual Machines, Inc.",7.33,USD,11.398176291793312,7909626,3.610647357600131,182005142.08966565,USD,,-3.7622,USD,-542.67167748548,0,Electronic technology,Strong buy
CGLD,Buscar Company,0.0311,USD,56.28140703517587,3061622,3.5307564316828453,580979.2562814071,USD,,,,,0,Process industries,
DUTV,"Digital Utilities Ventures, Inc.",0.03,USD,27.6595744680851,5387412,3.1249670821756506,103610365.53191487,USD,300,0.0001,USD,,0,Finance,
INTZ,Intrusion Inc.,2.01,USD,18.23529411764705,1417588,3.0718484033447373,39989143.90588235,USD,,-1.2153,USD,85.5937125854977,0,Technology services,Buy
KAPA,"Kairos Pharma, Ltd.",0.5206,USD,15.688888888888874,4525381,3.066755234781517,8771748.7036,USD,,-0.252,USD,-62.79069767441862,0,Health technology,Strong buy
CATV,"4Cable TV International, Inc.",0.0003,USD,19.999999999999986,19855820,2.8848469541109907,1298428.7999999998,USD,,0,USD,,0,Consumer non-durables,
OMEX,"Odyssey Marine Exploration, Inc.",0.8756,USD,12.414944152009245,2900278,2.8239420458005338,27437398.70484016,USD,,-0.1035,USD,90.27803869998121,0,Process industries,
RCAT,"Red Cat Holdings, Inc.",8.07,USD,16.45021645021646,17601489,2.806315557200229,733686193.8484849,USD,,,,,0,Technology services,Strong buy
ZNTL,"Zentalis Pharmaceuticals, Inc.",1.5,USD,10.294117647058815,2225603,2.7391585172626076,107927902.94117644,USD,,-3.1473,USD,6.243855938514701,0,Health technology,Buy
PTHL,Pheton Holdings Ltd,6.96,USD,15.614617940199343,2023092,2.6742103375009285,99180000,USD,,-0.046,USD,-177.10843373493975,0,Health technology,
PDYN,Palladyne AI Corp.,8.92,USD,23.20441988950276,6624120,2.521992987128551,318564656.55248606,USD,,-1.8738,USD,52.43800289362134,0,Producer manufacturing,Strong buy
CHPT,"ChargePoint Holdings, Inc.",0.8734,USD,13.164032132676848,40504353,2.510127041724741,403204828.22155994,USD,,-0.6534,USD,46.678635547576306,0,Retail trade,Neutral
RXRX,"Recursion Pharmaceuticals, Inc.",4.91,USD,11.845102505694772,46072886,2.3651919153183942,1995891028.23918,USD,,-1.777,USD,-11.00006246486351,0,Health technology,Buy
MODV,ModivCare Inc.,2.31,USD,20.312500000000007,33841632,2.344737339101719,33157322.515625004,USD,,-16.0922,USD,-2.378104641693795,0,Transportation,Neutral
AGEN,Agenus Inc.,5.63,USD,12.599999999999998,3843591,2.212575107619788,154356860.99600002,USD,,-8.6806,USD,31.189358868666368,0,Health technology,Buy
CTKB,"Cytek Biosciences, Inc.",3.4,USD,19.298245614035082,2919984,2.200396314647546,430641248.98245615,USD,,-0.0865,USD,-2.1251475796930297,0,Health technology,Buy
ALYI,"Alternet Systems, Inc.",0.001,USD,11.111111111111116,4506190,2.0615798969207764,116724.44444444447,USD,,0,USD,-100,0,Technology services,
FITY,Fifty 1 Labs Inc.,0.003,USD,25.00000000000001,20811138,1.9824756260996315,28148.750000000004,USD,,,,,0,Finance,
OZSC,Ozop Energy Solutions Inc.,0.0003,USD,49.99999999999998,32305268,1.9795581873571664,2535198,USD,,-0.0009,USD,24.999999999999993,0,Consumer services,
