Symbol,Description,Pre-market Close,Pre-market Close - Currency,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Price,Price - Currency,Price Change % 1 day,Gap % 1 day,Volume 1 day,Volume Change % 1 day,Post-market Close,Post-market Close - Currency,Post-market Change %,Post-market Volume
STSS,Sharps Technology Inc.,5.84,USD,56.14973262032085,0.2673796791443793,11068020,6.31,USD,68.71657754010693,56.55080213903744,49530305,130092.15907896121,6.4,USD,1.4263074484944651,405989
CLRB,"Cellectar Biosciences, Inc.",0.4258,USD,53.38616714697406,-0.14409221902017702,104963531,0.4617,USD,66.31844380403457,53.38616714697406,626089355,54564.10861762326,0.47,USD,1.7977041368854179,9036595
KWM,"K Wave Media, Ltd.",4.76,USD,147.91666666666669,-3.645833333333325,28245053,4.48,USD,133.33333333333337,147.91666666666669,116714101,26683.356625383516,4.2,USD,-6.250000000000005,828097
HOTH,"Hoth Therapeutics, Inc.",0.81,USD,-11.937377690802338,-11.937377690802338,462,1.53,USD,66.34050880626225,-2.152641878669268,31498124,21420.109861579873,1.7199,USD,12.41176470588235,2552595
BAOS,Baosheng Media Group Holdings Limited,4.29,USD,81.0126582278481,51.0548523206751,17674678,3.66,USD,54.43037974683544,83.1223628691983,36194364,1700.3805263998274,3.7,USD,1.0928961748633887,341067
LOOP,"Loop Industries, Inc.",1.44,USD,15.199999999999998,16.799999999999997,28721,1.57,USD,25.600000000000005,19.2,4465392,3984.6607696599917,1.6,USD,1.9108280254777086,45441
SGMT,Sagimet Biosciences Inc. - Series A,4.03,USD,11.019283746556484,73.82920110192836,6843828,4.08,USD,12.396694214876039,11.432506887052343,20357948,906.0849565254349,4.05,USD,-0.7352941176470649,142210
SILO,"Silo Pharma, Inc.",0.4794,USD,-3.307785397337641,-3.1665994352561495,23814,0.571,USD,15.16740621218232,-3.307785397337641,10958908,3168.0867560708675,0.84,USD,47.110332749562176,9254180
CGAC,Code Green Apparel Corp.,,,,,,0.00045,USD,50.000000000000014,-16.666666666666657,417452239,1884.0508688047755,,,,
AGMH,AGM Group Holdings Inc.,2.81,USD,0,-1.7793594306049918,10483,3.76,USD,33.807829181494654,-0.3558718861210047,4645548,424.2589861158289,3.8,USD,1.0638297872340436,36158
MFI,mF International Limited,1.15,USD,-4.1666666666666705,-7.4999999999999885,6265,1.93,USD,60.83333333333334,-5.833333333333339,14348367,1472.3720863971596,1.9991,USD,3.580310880829024,786229
BHAT,Blue Hat Interactive Entertainment Technology,1.87,USD,8.720930232558148,12.209302325581394,3761559,1.9,USD,10.465116279069765,8.720930232558148,6601844,5.232130637571627,1.83,USD,-3.6842105263157814,83152
YEXT,"Yext, Inc.",7.91,USD,15.982404692082108,5.571847507331377,74943,8.97,USD,31.524926686217015,15.249266862170089,7667920,223.7027796598721,9.03,USD,0.6688963210702198,271392
STAI,ScanTech AI Systems Inc.,0.738,USD,3.9436619718309895,5.1408450704225475,30617,0.7899,USD,11.253521126760575,-1.4084507042253533,4162961,586.7317498049321,0.8196,USD,3.7599696164071337,708553
MEDH,"MedX Holdings, Inc.",,,,,,0.001,USD,66.66666666666669,16.66666666666668,3888127,187.82562541547546,,,,
NWGC,NEW WORLD GOLD CORPORATION,,,,,,0.0001,USD,9900.000000000002,9900.000000000002,2041162,22834.404494382023,,,,
ANVS,"Annovis Bio, Inc.",2.73,USD,4.5977011494252915,1.9157088122605466,5550,3.24,USD,24.137931034482772,6.513409961685822,2724678,597.3051409618573,3.15,USD,-2.777777777777787,24178
HMLA,"Himalaya Technologies, Inc.",,,,,,0.0005,USD,24.999999999999996,24.999999999999996,3806989,-34.60709866300589,,,,
GMPR,Gourmet Provisions International Corporation,,,,,,0.0001,USD,9900.000000000002,9900.000000000002,4493026,8182.075576036867,,,,
UBQU,Ubiquitech Software Corp.,,,,,,0.0001,USD,9900.000000000002,9900.000000000002,10039000,222.90125442264394,,,,
