Symbol,Description,Pre-market Close,Pre-market Close - Currency,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Price,Price - Currency,Price Change % 1 day,Gap % 1 day,Volume 1 day,Volume Change % 1 day,Post-market Close,Post-market Close - Currency,Post-market Change %,Post-market Volume
KPRX,"Kiora Pharmaceuticals, Inc.",3.93,USD,37.89473684210527,8.07017543859649,11590904,3.57,USD,25.263157894736832,38.59649122807018,21293536,777888.1622214103,,,,
MCTR,CTRL Group Limited,7.23,USD,47.554031714932975,8.165472764750303,2500004,8.6456,USD,76.44441723300477,45.30908794057022,7233598,11394.490791501803,,,,
TRAW,"Traws Pharma, Inc.",2.5299,USD,78.16197183098593,1.4084507042253533,27828303,2.1,USD,47.88732394366198,78.16901408450704,50761520,36752.07341154606,,,,
SOAR,"Volato Group, Inc.",3.26,USD,22.097378277153553,-8.239700374531827,12147691,3.12,USD,16.85393258426967,20.5992509363296,19551044,10637.435125739361,,,,
RSLS,"ReShape Lifesciences, Inc.",5.73,USD,32.94663573085849,-2.088167053364266,9851536,6.0599,USD,40.60092807424595,32.714617169373554,15860738,22619.865348803894,,,,
REVB,"Revelation Biosciences, Inc.",1.04,USD,26.366950182260034,17.569866342648854,28035015,0.9948,USD,20.874848116646426,25.15188335358446,35076490,5754.004085529083,,,,
RENB,Renovaro Inc.,0.3701,USD,27.664711969644706,7.450845119006557,9870704,0.3488,USD,20.317350810624358,27.630217316315974,55090218,3836.3820583431107,,,,
TXTM,"ProText Mobility, Inc.",,,,,,0.00305,USD,408.33333333333337,250.00000000000006,60954548,1088.5916970536045,,,,
AREB,"American Rebel Holdings, Inc.",1.72,USD,17.006802721088434,0.680272108843538,6428867,1.845,USD,25.510204081632654,17.34693877551021,10037736,1188.372510916414,,,,
NIVF,NewGenIvf Group Limited,5.2501,USD,205.23837209302326,43.60465116279071,33270920,5.4848,USD,218.88372093023256,205.8139534883721,66819320,36.34411629973566,,,,
HQGE,HQ GLOBAL EDUCATION INC,,,,,,0.0003,USD,199.99999999999997,199.99999999999997,3751000,275.4754754754755,,,,
SHOT,"Safety Shot, Inc.",0.2782,USD,6.835637480798764,3.379416282642079,924818,0.3197,USD,22.77265745007679,5.990783410138249,22488302,1366.6497533768427,,,,
PRDL,"Profitable Developments, Inc.",,,,,,0.0002,USD,100,0,3332829,966.50528,,,,
REKR,"Rekor Systems, Inc.",1.35,USD,22.727272727272727,1.8181818181818195,9798140,1.365,USD,24.09090909090908,22.27272727272726,17850538,610.4802024787649,,,,
HMLA,"Himalaya Technologies, Inc.",,,,,,0.0005,USD,24.999999999999996,24.999999999999996,2680000,-53.965463104005764,,,,
UNCY,"Unicycive Therapeutics, Inc.",0.69,USD,4.16666666666666,4.151570048309174,258929,0.76001,USD,14.735809178743958,2.6570048309178835,2654333,-8.206467346835735,,,,
ECGI,ECGI Holdings Inc.,,,,,,0.0009,USD,19.999999999999996,46.66666666666667,10847458,83.47151609540657,,,,
EHVVF,Ehave Inc.,0.01,USD,25,25,340000,0.01,USD,25,-20,1802000,-11.323174374464223,,,,
NTRR,Neutra Corp.,,,,,,0.0002,USD,19900.000000000004,19900.000000000004,1113689,714.0049409425799,,,,
EYEN,"Eyenovia, Inc.",1.85,USD,10.778443113772465,4.790419161676651,7629263,1.855,USD,11.07784431137725,11.377245508982046,10702894,2999.9160063024237,,,,
CBDD,CBD of Denver Inc.,,,,,,0.0002,USD,33.33333333333336,33.33333333333336,17038947,-5.06492116474934,,,,
AWON,"A1 Group, Inc.",,,,,,0.0025,USD,13.636363636363633,0,1275432,2429.6152320507736,,,,
FMNJ,"Franklin Mining, Inc.",,,,,,0.0016,USD,45.45454545454545,-18.181818181818187,596181,19959.92597577389,,,,
SGDH,"SGD Holdings, Ltd.",,,,,,0.0059,USD,68.57142857142856,42.857142857142854,730000,-49.54416958688425,,,,
NINE,"Nine Energy Service, Inc.",0.445,USD,-0.6474659522214811,0.044652824291131495,159742,0.4945,USD,10.404108059834778,0.4688546550569303,491413,-14.256525683975433,,,,
CBGL,"Cannabis Global, Inc.",,,,,,0.0001,USD,100,100,425420,-75.6486100497709,,,,
GNLN,"Greenlane Holdings, Inc.",0.00725,USD,18.852459016393443,14.754098360655732,124647609,0.00685,USD,12.295081967213111,16.39344262295082,196007322,48.39178798724772,,,,
BMGL,Basel Medical Group Ltd,4.3788,USD,11.704081632653065,14.79591836734694,5414157,4.6128,USD,17.673469387755105,11.73469387755102,13758175,-79.584747047134,,,,
HLXW,HELIX WIND CORP,,,,,,0.0001,USD,9900.000000000002,9900.000000000002,233100,163.88778825580474,,,,
KIDZ,"Classover Holdings, Inc.",3.8147,USD,2.545698924731183,-5.10752688172044,197422,4.5,USD,20.967741935483865,2.150537634408592,1491500,-89.54790172462775,,,,
CATX,"Perspective Therapeutics, Inc.",2.5867,USD,8.230125523012546,2.510460251046027,14785,2.66,USD,11.297071129707113,2.0920502092050137,293753,-79.16887681149143,,,,
SPWR,"Complete Solaria, Inc.",1.52,USD,0,-0.532894736842105,2420,1.77,USD,16.447368421052634,0,334373,-60.81045920161271,,,,
HPNN,"Hop-on, Inc.",,,,,,0.00045,USD,12.499999999999991,24.999999999999996,630931,45.3758064516129,,,,
RSHN,"RushNet, Inc.",,,,,,0.0001,USD,9900.000000000002,9900.000000000002,3001000,14905.000000000002,,,,
GTLL,"Global Technologies, Ltd.",,,,,,0.0003,USD,49.99999999999998,49.99999999999998,2333333,-71.29643013240508,,,,
ALZN,"Alzamend Neuro, Inc.",3.73,USD,6.571428571428571,37.14285714285714,877020,3.87,USD,10.571428571428575,7.142857142857142,1521916,38.25256194683433,,,,
BON,Bon Natural Life Limited,1.73,USD,8.124999999999993,0,1221413,1.766,USD,10.374999999999995,6.874999999999992,1726398,316.7758258153138,,,,
CRSM,"CarSmartt, Inc.",,,,,,0.0013,USD,18.18181818181817,9.090909090909074,420000,-51.263380812857186,,,,
ERBB,"American Green, Inc.",,,,,,0.0004,USD,33.33333333333336,0,224023,-88.50839391027925,,,,
ELRA,"Elray Resources, Inc.",0.0004,USD,17.64705882352941,17.64705882352941,270000,0.00034,USD,13.333333333333353,0,425000,-78.75106244687765,,,,
INND,"Innerscope Hearing Technologies, Inc.",,,,,,0.0046,USD,14.999999999999996,14.999999999999996,50530,-90.1839465857501,,,,
PSWW,"Principal Solar, Inc.",,,,,,0.0003,USD,15.384615384615385,-23.076923076923066,8169633,-84.46418542920823,,,,
FCGD,First Colombia Gold Corp.,,,,,,0.0001,USD,100,100,250000,-95.06903353057199,,,,
GMPR,Gourmet Provisions International Corporation,,,,,,0.0001,USD,9900.000000000002,9900.000000000002,60001,-98.91105263157894,,,,
PTAM,"Potash America, Inc.",,,,,,0.0023,USD,27.77777777777778,11.111111111111116,50000,0,,,,
DRNK,"NoHo, Inc.",,,,,,0.0006,USD,19.999999999999986,19.999999999999986,2295600,-96.0419644187843,,,,
KGKG,KONA GOLD BEVERAGE INC.,,,,,,0.00015,USD,49.99999999999998,100,772499,-95.31123885059712,,,,
RMRK,Rimrock Gold Corp.,,,,,,0.0003,USD,19.999999999999986,19.999999999999986,79877,-92.73845454545454,,,,
LVWR,"LiveWire Group, Inc.",3.9,USD,3.4482758620689626,-3.183023872679048,44871,4.205,USD,11.53846153846154,2.6525198938992065,1123198,-56.61442001426102,,,,
