Symbol,Description,Pre-market Close,Pre-market Close - Currency,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Price,Price - Currency,Price Change % 1 day,Gap % 1 day,Volume 1 day,Volume Change % 1 day,Post-market Close,Post-market Close - Currency,Post-market Change %,Post-market Volume
KPRX,"Kiora Pharmaceuticals, Inc.",3.45,USD,-11.538461538461533,-7.94871794871795,96629,3.9,USD,36.84210526315789,38.59649122807018,24589649,898316.1125319693,,,,
RSLS,"ReShape Lifesciences, Inc.",5.73,USD,-15.111111111111105,-10.814814814814822,103833,6.75,USD,56.6125290023202,32.714617169373554,57640834,82468.16215441913,,,,
TRAW,"Traws Pharma, Inc.",1.84,USD,-1.6042780748663115,-6.951871657754016,310095,1.87,USD,31.690140845070434,78.16901408450704,62770662,45470.52357997445,,,,
TSBX,Turnstone Biologics Corp.,0.3238,USD,-6.4702484113229435,-9.792027729636043,46189,0.3462,USD,10.713143588103623,-3.6136872401662865,10353613,43137.33817756619,,,,
BMEA,"Biomea Fusion, Inc.",2.45,USD,-1.6064257028112463,8.433734939759034,527679,2.49,USD,60.64516129032259,1.9354838709677438,63292497,10584.622279993922,,,,
TXTM,"ProText Mobility, Inc.",0.003,USD,3.4482758620689746,3.4482758620689746,775000,0.0029,USD,383.33333333333337,250.00000000000006,302763197,5803.773121697249,,,,
NTRR,Neutra Corp.,,,,,,0.0002,USD,19900.000000000004,19900.000000000004,28148403,20473.911676996842,,,,
CGLD,Buscar Company,,,,,,0.0199,USD,99.00000000000001,0,5646465,155.8665235333861,,,,
NIVF,NewGenIvf Group Limited,2.85,USD,-22.972972972972975,-14.864864864864872,435526,3.7,USD,115.11627906976744,205.8139534883721,93628685,91.00113745498211,,,,
NCEW,New Century Logistics (BVI) Limited,1.6,USD,25.98425196850394,0.7874015748031503,19090446,1.27,USD,20.95238095238095,1.9047619047619064,3704829,1903.3791346949372,,,,
AGEN,Agenus Inc.,5.3,USD,5.9999999999999964,-7.599999999999999,162626,5,USD,21.06537530266344,16.828087167070223,9933528,492.5699154172734,,,,
UNCY,"Unicycive Therapeutics, Inc.",0.8299,USD,8.768020969855826,4.849279161205771,1274823,0.763,USD,15.187198067632854,2.6570048309178835,12637368,337.0320725237011,,,,
