ticker,entry_price,exit_price,shares,pnl,result,predicted_prob,raw_prob,gap_pct,premarket_volume,float,sentiment_score
KPRX,10.0,3.9,40,-244.0,LOSS,0.5,0.5,0.0,100000.0,10000000.0,0
MCTR,10.0,10.0,40,0.0,LOSS,0.5,0.5,0.0,100000.0,10000000.0,0
TRAW,10.0,1.87,40,-325.19999999999993,LOSS,0.5,0.5,0.0,100000.0,10000000.0,0
SOAR,10.0,10.0,40,0.0,LOSS,0.5,0.5,0.0,100000.0,10000000.0,0
RSLS,10.0,6.75,40,-130.0,LOSS,0.5,0.5,0.0,100000.0,10000000.0,0
KPRX,10.807017543859649,3.9,37,-255.559649122807,LOSS,0.55,0.55,8.07017543859649,11590904.0,10000000.0,0
MCTR,10.816547276475031,10.816547276475031,36,0.0,LOSS,0.55,0.55,8.165472764750303,2500004.0,10000000.0,0
TRAW,10.140845070422536,1.87,39,-322.56295774647884,LOSS,0.55,0.55,1.4084507042253531,27828303.0,10000000.0,0
SOAR,9.176029962546817,9.176029962546817,43,0.0,LOSS,0.55,0.55,-8.239700374531827,12147691.0,10000000.0,0
RSLS,9.791183294663574,6.75,40,-121.64733178654295,LOSS,0.55,0.55,-2.088167053364266,9851536.0,10000000.0,0
KPRX,10.807017543859649,3.9,37,-255.559649122807,LOSS,0.0,0.55,8.07017543859649,11590904.0,10000000.0,0
MCTR,10.816547276475031,10.816547276475031,36,0.0,LOSS,0.0,0.55,8.165472764750303,2500004.0,10000000.0,0
TRAW,10.140845070422536,1.87,39,-322.56295774647884,LOSS,0.0,0.55,1.4084507042253531,27828303.0,10000000.0,0
SOAR,9.176029962546817,9.176029962546817,43,0.0,LOSS,0.0,0.55,-8.239700374531827,12147691.0,10000000.0,0
RSLS,9.791183294663574,6.75,40,-121.64733178654295,LOSS,0.0,0.55,-2.088167053364266,9851536.0,10000000.0,0
KPRX,10.807017543859649,3.9,37,-255.559649122807,LOSS,0.55,0.55,8.07017543859649,11590904.0,10000000.0,0
MCTR,10.816547276475031,10.816547276475031,36,0.0,LOSS,0.55,0.55,8.165472764750303,2500004.0,10000000.0,0
TRAW,10.140845070422536,1.87,39,-322.56295774647884,LOSS,0.55,0.55,1.4084507042253531,27828303.0,10000000.0,0
SOAR,9.176029962546817,9.176029962546817,43,0.0,LOSS,0.55,0.55,-8.239700374531827,12147691.0,10000000.0,0
RSLS,9.791183294663574,6.75,40,-121.64733178654295,LOSS,0.55,0.55,-2.088167053364266,9851536.0,10000000.0,0
KPRX,10.807017543859649,3.9,37,-255.559649122807,LOSS,0.6325,0.6325,8.07017543859649,11590904.0,10000000.0,0
MCTR,10.816547276475031,10.816547276475031,36,0.0,LOSS,0.6325,0.6325,8.165472764750303,2500004.0,10000000.0,0
TRAW,10.140845070422536,1.87,39,-322.56295774647884,LOSS,0.6325,0.6325,1.4084507042253531,27828303.0,10000000.0,0
SOAR,9.176029962546817,9.176029962546817,43,0.0,LOSS,0.6325,0.6325,-8.239700374531827,12147691.0,10000000.0,0
RSLS,9.791183294663574,6.75,40,-121.64733178654295,LOSS,0.6325,0.6325,-2.088167053364266,9851536.0,10000000.0,0
KPRX,10.807017543859649,3.9,37,-255.559649122807,LOSS,0.6325,0.6325,8.07017543859649,11590904.0,10000000.0,0
MCTR,10.816547276475031,10.816547276475031,36,0.0,LOSS,0.6325,0.6325,8.165472764750303,2500004.0,10000000.0,0
TRAW,10.140845070422536,1.87,39,-322.56295774647884,LOSS,0.6325,0.6325,1.4084507042253531,27828303.0,10000000.0,0
SOAR,9.176029962546817,9.176029962546817,43,0.0,LOSS,0.6325,0.6325,-8.239700374531827,12147691.0,10000000.0,0
RSLS,9.791183294663574,6.75,40,-121.64733178654295,LOSS,0.6325,0.6325,-2.088167053364266,9851536.0,10000000.0,0
KPRX,10.0,3.9,40,-244.0,LOSS,0.6325,0.6325,8.07017543859649,11590904.0,10000000.0,0
MCTR,10.0,10.0,40,0.0,LOSS,0.6325,0.6325,8.165472764750303,2500004.0,10000000.0,0
TRAW,10.0,1.87,40,-325.19999999999993,LOSS,0.6325,0.6325,1.4084507042253531,27828303.0,10000000.0,0
SOAR,10.0,10.0,40,0.0,LOSS,0.6325,0.6325,-8.239700374531827,12147691.0,10000000.0,0
RSLS,10.0,6.75,40,-130.0,LOSS,0.6325,0.6325,-2.088167053364266,9851536.0,10000000.0,0
KPRX,10.0,3.9,40,-244.0,LOSS,0.6325,0.6325,8.07017543859649,11590904.0,10000000.0,0
MCTR,10.0,10.0,40,0.0,LOSS,0.6325,0.6325,8.165472764750303,2500004.0,10000000.0,0
TRAW,10.0,1.87,40,-325.19999999999993,LOSS,0.6325,0.6325,1.4084507042253531,27828303.0,10000000.0,0
SOAR,10.0,10.0,40,0.0,LOSS,0.6325,0.6325,-8.239700374531827,12147691.0,10000000.0,0
RSLS,10.0,6.75,40,-130.0,LOSS,0.6325,0.6325,-2.088167053364266,9851536.0,10000000.0,0
